Date,Wells Fargo Rate,Freddie Mac Rate,Timepoint
4/28/2016,3.875,3.66,2016-4
5/5/2016,3.75,3.61,2016-5
5/12/2016,3.75,3.57,2016-5
5/19/2016,3.875,3.58,2016-5
5/26/2016,3.875,3.64,2016-5
6/2/2016,3.875,3.66,2016-6
6/9/2016,3.75,3.6,2016-6
6/16/2016,3.625,3.54,2016-6
6/23/2016,3.75,3.56,2016-6
6/30/2016,3.625,3.48,2016-6
7/7/2016,3.625,3.41,2016-7
7/14/2016,3.625,3.42,2016-7
7/21/2016,3.625,3.45,2016-7
7/28/2016,3.625,3.48,2016-7
8/4/2016,3.625,3.43,2016-8
8/11/2016,3.625,3.45,2016-8
8/18/2016,3.625,3.43,2016-8
8/24/2016,3.625,3.43,2016-8
8/25/2016,3.625,3.43,2016-8
9/1/2016,3.75,3.46,2016-9
9/8/2016,3.625,3.44,2016-9
9/15/2016,3.75,3.5,2016-9
9/22/2016,3.625,3.48,2016-9
9/29/2016,3.625,3.42,2016-9
10/6/2016,3.625,3.42,2016-10
10/13/2016,3.75,3.47,2016-10
10/20/2016,3.75,3.52,2016-10
10/27/2016,3.75,3.47,2016-10
11/3/2016,3.75,3.54,2016-11
11/10/2016,4,3.57,2016-11
11/17/2016,4.125,3.94,2016-11
11/23/2016,4.25,4.03,2016-11
12/1/2016,4.375,4.08,2016-12
12/8/2016,4.375,4.13,2016-12
12/15/2016,4.5,4.16,2016-12
12/22/2016,4.5,4.3,2016-12
12/29/2016,4.5,4.32,2016-12
1/12/2017,4.25,4.12,2017-1
1/19/2017,4.5,4.09,2017-1
1/26/2017,4.5,4.19,2017-1
2/2/2017,4.375,4.19,2017-2
2/9/2017,4.25,4.17,2017-2
2/16/2017,4.375,4.15,2017-2
2/23/2017,4.25,4.16,2017-2
3/2/2017,4.25,4.1,2017-3
3/9/2017,4.375,4.21,2017-3
3/16/2017,4.375,4.3,2017-3
3/23/2017,4.25,4.23,2017-3
3/30/2017,4.25,4.14,2017-3
4/6/2017,4.125,4.1,2017-4
4/13/2017,4.125,4.08,2017-4
4/20/2017,4.125,3.97,2017-4
4/27/2017,4.125,4.03,2017-4
5/4/2017,4.125,4.02,2017-5
5/11/2017,4.25,4.05,2017-5
5/18/2017,4,4.02,2017-5
5/25/2017,4.125,3.95,2017-5
6/1/2017,4,3.94,2017-6
6/8/2017,3.875,3.89,2017-6
6/15/2017,3.875,3.91,2017-6
6/22/2017,4,3.9,2017-6
6/29/2017,4,3.88,2017-6
7/6/2017,4.125,3.96,2017-7
7/13/2017,4.125,4.03,2017-7
