Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1405134,1280921,124213,8.8
2010,Feb,1406757,1281681,125076,8.9
2010,Mar,1411199,1283012,128187,9.1
2010,Apr,1422258,1302615,119643,8.4
2010,May,1421902,1302840,119062,8.4
2010,Jun,1436238,1309936,126302,8.8
2010,Jul,1436820,1312042,124778,8.7
2010,Aug,1434412,1310885,123527,8.6
2010,Sep,1430900,1309600,121300,8.5
2010,Oct,1430420,1309909,120511,8.4
2010,Nov,1426202,1300728,125474,8.8
2010,Dec,1418005,1292513,125492,8.8
2011,Jan,1413777,1284468,129309,9.1
2011,Feb,1414707,1286852,127855,9.0
2011,Mar,1416993,1291310,125683,8.9
2011,Apr,1422708,1305301,117407,8.3
2011,May,1429712,1311513,118199,8.3
2011,Jun,1436017,1319006,117011,8.1
2011,Jul,1436342,1321553,114789,8.0
2011,Aug,1438296,1322021,116275,8.1
2011,Sep,1440770,1326047,114723,8.0
2011,Oct,1444706,1331534,113172,7.8
2011,Nov,1443896,1328948,114948,8.0
2011,Dec,1436008,1319429,116579,8.1
2012,Jan,1431132,1309937,121195,8.5
2012,Feb,1435515,1312886,122629,8.5
2012,Mar,1434290,1313586,120704,8.4
2012,Apr,1438368,1324805,113563,7.9
2012,May,1441806,1331263,110543,7.7
2012,Jun,1458029,1340302,117727,8.1
2012,Jul,1456039,1344546,111493,7.7
2012,Aug,1451920,1341441,110479,7.6
2012,Sep,1455316,1351100,104216,7.2
2012,Oct,1465068,1361231,103837,7.1
2012,Nov,1457752,1354311,103441,7.1
2012,Dec,1453742,1349384,104358,7.2
2013,Jan,1451605,1338491,113114,7.8
2013,Feb,1454891,1344511,110380,7.6
2013,Mar,1448698,1343387,105311,7.3
2013,Apr,1455729,1356381,99348,6.8
2013,May,1460288,1362739,97549,6.7
2013,Jun,1476365,1372692,103673,7.0
2013,Jul,1475673,1378940,96733,6.6
2013,Aug,1470394,1378499,91895,6.2
2013,Sep,1472170,1382504,89666,6.1
2013,Oct,1469429,1382117,87312,5.9
2013,Nov,1469360,1385003,84357,5.7
2013,Dec,1462369,1379762,82607,5.6
2014,Jan,1465732,1376339,89393,6.1
2014,Feb,1472710,1383127,89583,6.1
