Region_id,Region_type,City_Name,State_abrv,Neighborhood,County
9999,city,Carrsville, VA, Virginia Beach-Norfolk-Newport News, Isle of Wight County
9998,city,Birchleaf, VA, Big Stone Gap, Dickenson County
9994,city,Wright, KS, Dodge City, Ford County
9987,city,Weston, CT, Bridgeport-Stamford-Norwalk, Fairfield County
9980,city,South Wilmington, IL, Chicago-Naperville-Elgin, Grundy County
9978,city,Waldo, FL, Gainesville, Alachua County
9973,city,Vienna, MD, Cambridge, Dorchester County
9969,city,Tinley Park, IL, Chicago-Naperville-Elgin, Cook County
9967,city,Yorktown, TX, De Witt County,
9966,city,Yachats, OR, Newport, Lincoln County
9963,city,Satartia, MS, Jackson, Yazoo County
9962,city,Vale, SD, Butte County,
9961,city,San Patricio, TX, Corpus Christi, San Patricio County
9960,city,Wildrose, ND, Williston, Williams County
9958,city,Spurlockville, WV, Huntington-Ashland, Lincoln County
9956,city,Prairie Rose, ND, Fargo, Cass County
9953,city,Logansport, IN, Cass County,
9951,city,Lizella, GA, Macon-Bibb County, Bibb County
9950,city,Lincoln, VT, Addison County,
9949,city,Lewisburg, TN, Marshall County,
9943,city,Richville, MN, Fergus Falls, Otter Tail County
9941,city,Parnell, IA, Iowa County,
9940,city,Palo Cedro, CA, Redding, Shasta County
9939,city,Muscoda, WI, Platteville, Grant County
9937,city,Mooreton, ND, Wahpeton, Richland County
9936,city,Hartford, MI, Kalamazoo-Portage, Van Buren County
9932,city,Hancock, WI, Waushara County,
9931,city,Jacumba, CA, San Diego-Carlsbad, San Diego County
9922,city,Hamburg, PA, Reading, Berks County
9921,city,Plumerville, AR, Conway County,
9919,city,Franklin, AL, Macon County,
9915,city,Melvern, KS, Topeka, Osage County
9911,city,Nachusa, IL, Dixon, Lee County
9908,city,Gleason, WI, Merrill, Lincoln County
9907,city,Gilbert, WV, Mingo County,
9906,city,Fulton, KS, Bourbon County,
9904,city,Fort Hall, ID, Pocatello, Bannock County
9903,city,Floydada, TX, Floyd County,
9902,city,Peck, KS, Wichita, Sumner County
9896,city,Fincastle, VA, Roanoke, Botetourt County
9891,city,Moriarty, NM, Albuquerque, Torrance County
9889,city,Ducor, CA, Visalia-Porterville, Tulare County
9887,city,Doland, SD, Spink County,
9882,city,Everton, AR, Harrison, Boone County
9880,city,Eure, NC, Virginia Beach-Norfolk-Newport News, Gates County
9878,city,Elk Creek, CA, Glenn County,
9876,city,Eastpoint, FL, Franklin County,
9875,city,Osmond, NE, Norfolk, Pierce County
9872,city,Onley, VA, Accomack County,
9870,city,Oakfield, ME, Aroostook County,
9867,city,Ellis, ID, Custer County,
9866,city,Edisto Beach, SC, Colleton County,
9864,city,Lake Quivira, KS, Kansas City, Johnson County
9860,city,Frontenac, KS, Pittsburg, Crawford County
9859,city,Edgewater, NJ, New York-Newark-Jersey City, Bergen County
9857,city,De Queen, AR, Sevier County,
9854,city,Currie, NC, Wilmington, Pender County
9852,city,Combes, TX, Brownsville-Harlingen, Cameron County
9850,city,Norwood, NY, Ogdensburg-Massena, Saint Lawrence County
9848,city,North Londonderry Township, PA, Lebanon, Lebanon County
9845,city,Duck, NC, Kill Devil Hills, Dare County
9844,city,Driftwood, PA, Cameron County,
9843,city,Dola, OH, Hardin County,
9842,city,Town Of Dickinson, NY, Malone, Franklin County
9840,city,Agoura Hills, CA, Los Angeles-Long Beach-Anaheim, Los Angeles County
9839,city,Clear Lake, IA, Mason City, Cerro Gordo County
9838,city,Barnard, MO, Maryville, Nodaway County
9837,city,Delta, IA, Keokuk County,
9836,city,Clifton, ME, Bangor, Penobscot County
9835,city,Cleo Springs, OK, Major County,
9831,city,Catawba, NC, Hickory-Lenoir-Morganton, Catawba County
9829,city,Carroll, IA, Carroll County,
9827,city,California, MD, California-Lexington Park, Saint Marys County
9826,city,Cabot, AR, Little Rock-North Little Rock-Conway, Lonoke County
9824,city,Burkettsville, OH, Greenville, Darke County
9821,city,Nanticoke, MD, Salisbury, Wicomico County
9818,city,Mount Pleasant Mills, PA, Selinsgrove, Snyder County
9817,city,Morris, OK, Tulsa, Okmulgee County
9816,city,Morgan, MN, Redwood County,
9814,city,Montrose, MN, Minneapolis-St. Paul-Bloomington, Wright County
9813,city,Deer River, MN, Grand Rapids, Itasca County
9812,city,Deer Creek, IL, Peoria, Tazewell County
9811,city,De Kalb, TX, Texarkana, Bowie County
9810,city,Cumberland, WI, Barron County,
9808,city,Coward, SC, Florence, Florence County
9805,city,White Water, CA, Riverside-San Bernardino-Ontario, Riverside County
9804,city,Wheeler, OR, Tillamook County,
9801,city,West Grove, PA, Philadelphia-Camden-Wilmington, Chester County
9797,city,Belfast, ME, Waldo County,
9792,city,Middleton, WI, Madison, Dane County
9791,city,Merrimac, MA, Boston-Cambridge-Newton, Essex County
9788,city,Columbia, MS, Marion County,
9787,city,Town Of Cochecton, NY, Sullivan County,
9785,city,Valmeyer, IL, St. Louis, Monroe County
9784,city,Valier, MT, Pondera County,
9780,city,Barnard, VT, Claremont-Lebanon, Windsor County
9778,city,Austwell, TX, Refugio County,
9777,city,Augusta, WV, Winchester, Hampshire County
9775,city,Albany, KY, Clinton County,
9773,city,Melber, KY, Mayfield, Graves County
9770,city,Maysville, MO, St. Joseph, DeKalb County
9769,city,Matthews, MO, New Madrid County,
9768,city,Marshalltown, IA, Marshall County,
9767,city,Marriottsville, MD, Baltimore-Columbia-Towson, Howard County
9766,city,Marion, WI, Waupaca County,
9765,city,Marathon, OH, Cincinnati, Clermont County
9764,city,Manns Choice, PA, Bedford County,
9763,city,Clairfield, TN, Claiborne County,
9761,city,Charleston, TN, Cleveland, Bradley County
9756,city,Talking Rock, GA, Atlanta-Sandy Springs-Roswell, Pickens County
9754,city,Stockton, AL, Daphne-Fairhope-Foley, Baldwin County
9741,city,Unadilla, GA, Dooly County,
9738,city,Maggie Valley, NC, Asheville, Haywood County
9736,city,Lower Augusta Township, PA, Sunbury, Northumberland County
9735,city,Los Molinos, CA, Red Bluff, Tehama County
9731,city,Cassel, CA, Redding, Shasta County
9729,city,Carleton, MI, Monroe, Monroe County
9728,city,Town Of Cameron, NY, Corning, Steuben County
9726,city,Califon, NJ, New York-Newark-Jersey City, Hunterdon County
9723,city,Smithers, WV, Beckley, Fayette County
9721,city,Saint Paul, IA, Fort Madison-Keokuk, Lee County
9720,city,Sac City, IA, Sac County,
9719,city,Tatums, OK, Ardmore, Carter County
9717,city,Swarthmore, PA, Philadelphia-Camden-Wilmington, Delaware County
9714,city,Stockertown, PA, Allentown-Bethlehem-Easton, Northampton County
9711,city,Lempster, NH, Claremont-Lebanon, Sullivan County
9710,city,Lee, NH, Boston-Cambridge-Newton, Strafford County
9707,city,Buchanan, VA, Roanoke, Botetourt County
9706,city,Bryan, OH, Williams County,
9699,city,Rockholds, KY, London, Whitley County
9697,city,Railroad, PA, York-Hanover, York County
9696,city,Queenstown, MD, Baltimore-Columbia-Towson, Queen Annes County
9695,city,Preston, GA, Webster County,
9694,city,Powersville, MO, Putnam County,
9689,city,Severn, NC, Roanoke Rapids, Northampton County
9687,city,Scranton, SC, Florence, Florence County
9686,city,Saxapahaw, NC, Burlington, Alamance County
9685,city,Lancaster, KS, Atchison, Atchison County
9684,city,Lambert, MT, Richland County,
9683,city,Lakeview, OH, Bellefontaine, Logan County
9681,city,Lake Junaluska, NC, Asheville, Haywood County
9677,city,Kingston Springs, TN, Nashville-Davidson--Murfreesboro--Franklin, Cheatham County
9675,city,Boardman, OR, Hermiston-Pendleton, Morrow County
9670,city,Berwick, LA, Morgan City, Saint Mary Parish
