Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2766586,2457866,308720,11.2
2010,Feb,2768414,2466145,302269,10.9
2010,Mar,2769029,2468100,300929,10.9
2010,Apr,2805303,2512460,292843,10.4
2010,May,2805745,2517918,287827,10.3
2010,Jun,2799223,2498507,300716,10.7
2010,Jul,2825682,2511164,314518,11.1
2010,Aug,2833701,2514631,319070,11.3
2010,Sep,2832627,2525456,307171,10.8
2010,Oct,2825645,2525457,300188,10.6
2010,Nov,2830603,2530339,300264,10.6
2010,Dec,2829802,2539020,290782,10.3
2011,Jan,2831098,2543713,287385,10.2
2011,Feb,2827231,2548737,278494,9.9
2011,Mar,2826417,2549723,276694,9.8
2011,Apr,2840132,2572731,267401,9.4
2011,May,2861394,2588973,272421,9.5
2011,Jun,2846596,2557562,289034,10.2
2011,Jul,2866640,2573489,293151,10.2
2011,Aug,2866970,2583357,283613,9.9
2011,Sep,2882171,2606455,275716,9.6
2011,Oct,2886990,2623935,263055,9.1
2011,Nov,2886180,2639364,246816,8.6
2011,Dec,2889126,2642752,246374,8.5
2012,Jan,2870740,2628051,242689,8.5
2012,Feb,2875376,2637777,237599,8.3
2012,Mar,2873253,2637774,235479,8.2
2012,Apr,2880104,2651497,228607,7.9
2012,May,2915374,2676453,238921,8.2
2012,Jun,2912068,2659213,252855,8.7
2012,Jul,2920497,2662360,258137,8.8
2012,Aug,2902758,2649812,252946,8.7
2012,Sep,2930541,2690385,240156,8.2
2012,Oct,2944232,2711067,233165,7.9
2012,Nov,2926194,2705550,220644,7.5
2012,Dec,2928716,2702618,226098,7.7
2013,Jan,2938969,2706631,232338,7.9
2013,Feb,2923195,2706482,216713,7.4
2013,Mar,2903139,2693124,210015,7.2
2013,Apr,2928889,2723554,205335,7.0
2013,May,2952890,2741651,211239,7.2
2013,Jun,2942821,2720465,222356,7.6
2013,Jul,2955688,2736208,219480,7.4
2013,Aug,2937527,2721210,216317,7.4
2013,Sep,2952298,2742090,210208,7.1
2013,Oct,2926172,2725527,200645,6.9
2013,Nov,2943650,2754398,189252,6.4
2013,Dec,2948881,2764858,184023,6.2
2014,Jan,2957389,2763995,193394,6.5
2014,Feb,2964676,2771153,193523,6.5
2014,Mar,2962239,2762779,199460,6.7
2014,Apr,2971987,2785982,186005,6.3
2014,May,2992682,2802134,190548,6.4
2014,Jun,2987486,2798015,189471,6.3
2014,Jul,3003301,2806409,196892,6.6
2014,Aug,2983426,2788025,195401,6.5
2014,Sep,2997226,2809952,187274,6.2
2014,Oct,3007033,2829852,177181,5.9
2014,Nov,2999849,2828897,170952,5.7
2014,Dec,2986912,2824237,162675,5.4
2015,Jan,2980856,2810546,170310,5.7
2015,Feb,2963728,2802180,161548,5.5
2015,Mar,2942823,2781316,161507,5.5
2015,Apr,2966039,2807121,158918,5.4
2015,May,2990409,2823517,166892,5.6
2015,Jun,2965410,2797317,168093,5.7
2015,Jul,2981583,2808537,173046,5.8
2015,Aug,2969351,2801295,168056,5.7
2015,Sep,2969577,2805730,163847,5.5
2015,Oct,2983384,2824840,158544,5.3
2015,Nov,2979973,2827038,152935,5.1
2015,Dec,2989667,2841595,148072,5.0
2016,Jan,2995190,2847192,147998,4.9
2016,Feb,2998662,2857277,141385,4.7
2016,Mar,2992574,2846006,146568,4.9
2016,Apr,3002365,2860039,142326,4.7
2016,May,3008443,2869389,139054,4.6
2016,Jun,3008612,2857314,151298,5.0
2016,Jul,3030402,2875992,154410,5.1
2016,Aug,3022483,2866161,156322,5.2
2016,Sep,3046467,2890182,156285,5.1
2016,Oct,3058991,2909504,149487,4.9
2016,Nov,3053365,2913797,139568,4.6
