Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1889447,1694457,194990,10.3
2010,Feb,1900256,1704133,196123,10.3
2010,Mar,1900630,1707363,193267,10.2
2010,Apr,1903225,1725394,177831,9.3
2010,May,1896505,1717803,178702,9.4
2010,Jun,1894040,1708995,185045,9.8
2010,Jul,1891660,1710292,181368,9.6
2010,Aug,1876787,1698688,178099,9.5
2010,Sep,1880511,1704026,176485,9.4
2010,Oct,1871045,1697360,173685,9.3
2010,Nov,1876202,1695803,180399,9.6
2010,Dec,1878819,1707316,171503,9.1
2011,Jan,1868543,1689564,178979,9.6
2011,Feb,1881424,1702284,179140,9.5
2011,Mar,1881994,1708971,173023,9.2
2011,Apr,1880207,1721232,158975,8.5
2011,May,1879360,1718364,160996,8.6
2011,Jun,1887414,1716726,170688,9.0
2011,Jul,1885371,1718118,167253,8.9
2011,Aug,1873541,1713278,160263,8.6
2011,Sep,1881732,1724152,157580,8.4
2011,Oct,1875963,1722457,153506,8.2
2011,Nov,1876607,1724402,152205,8.1
2011,Dec,1886112,1739255,146857,7.8
2012,Jan,1874785,1721279,153506,8.2
2012,Feb,1896646,1742469,154177,8.1
2012,Mar,1899075,1751576,147499,7.8
2012,Apr,1896043,1765199,130844,6.9
2012,May,1903649,1765899,137750,7.2
2012,Jun,1903502,1760352,143150,7.5
2012,Jul,1899794,1756363,143431,7.5
2012,Aug,1888183,1754473,133710,7.1
2012,Sep,1899370,1773737,125633,6.6
2012,Oct,1895190,1773115,122075,6.4
2012,Nov,1892518,1771550,120968,6.4
2012,Dec,1894872,1778061,116811,6.2
2013,Jan,1896209,1770483,125726,6.6
2013,Feb,1909338,1789099,120239,6.3
2013,Mar,1901648,1788304,113344,6.0
2013,Apr,1907225,1804465,102760,5.4
2013,May,1913412,1805639,107773,5.6
2013,Jun,1916106,1799752,116354,6.1
2013,Jul,1915584,1801505,114079,6.0
2013,Aug,1908838,1796773,112065,5.9
2013,Sep,1917261,1806453,110808,5.8
2013,Oct,1904762,1793668,111094,5.8
2013,Nov,1916653,1806591,110062,5.7
2013,Dec,1917480,1814558,102922,5.4
2014,Jan,1922941,1811274,111667,5.8
2014,Feb,1941554,1829660,111894,5.8
2014,Mar,1942950,1834728,108222,5.6
2014,Apr,1932589,1840059,92530,4.8
2014,May,1937025,1837430,99595,5.1
2014,Jun,1937432,1834279,103153,5.3
2014,Jul,1950266,1843967,106299,5.5
2014,Aug,1946014,1843337,102677,5.3
2014,Sep,1949633,1849152,100481,5.2
2014,Oct,1950973,1854648,96325,4.9
2014,Nov,1954373,1854312,100061,5.1
2014,Dec,1954037,1863088,90949,4.7
2015,Jan,1960524,1858991,101533,5.2
2015,Feb,1976610,1878630,97980,5.0
2015,Mar,1973765,1878954,94811,4.8
2015,Apr,1973681,1889001,84680,4.3
2015,May,1979820,1886814,93006,4.7
2015,Jun,1974439,1881618,92821,4.7
2015,Jul,1980276,1885439,94837,4.8
2015,Aug,1983443,1892810,90633,4.6
2015,Sep,1985945,1892919,93026,4.7
2015,Oct,1983108,1891587,91521,4.6
2015,Nov,1991390,1898350,93040,4.7
2015,Dec,1992005,1901289,90716,4.6
2016,Jan,2002153,1905195,96958,4.8
2016,Feb,2029293,1933873,95420,4.7
2016,Mar,2033055,1939071,93984,4.6
2016,Apr,2023461,1940409,83052,4.1
2016,May,2026398,1940778,85620,4.2
2016,Jun,2026767,1937765,89002,4.4
2016,Jul,2038438,1947774,90664,4.4
2016,Aug,2040273,1953576,86697,4.2
2016,Sep,2049272,1959522,89750,4.4
2016,Oct,2039895,1954628,85267,4.2
2016,Nov,2047630,1963957,83673,4.1
2016,Dec,2041052,1958843,82209,4.0
2017,Jan,2055405,1967062,88343,4.3
2017,Feb,2076562,1989521,87041,4.2
2017,Mar,2078781,1994535,84246,4.1
2017,Apr,2070517,1997230,73287,3.5
2017,May,2072251,1993280,78971,3.8
2017,Jun,2071476,1989073,82403,4.0
2017,Jul,2078592,1993174,85418,4.1
2017,Aug,2083221,1999694,83527,4.0
2017,Sep,2094337,2010622,83715,4.0
2017,Oct,2076162,1997468,78694,3.8
2017,Nov,2088428,2007885,80543,3.9
2017,Dec,2085438,2005196,80242,3.8
2018,Jan,2101674,2013897,87777,4.2
2018,Feb,2128665,2043144,85521,4.0
2018,Mar,2121886,2041074,80812,3.8
2018,Apr,2110317,2040761,69556,3.3
2018,May,2113575,2041133,72442,3.4
2018,Jun,2111096,2032923,78173,3.7
2018,Jul,2125389,2046907,78482,3.7
2018,Aug,2118983,2043650,75333,3.6
2018,Sep,2129362,2053197,76165,3.6
2018,Oct,2125116,2050661,74455,3.5
2018,Nov,2139450,2063553,75897,3.5
2018,Dec,2131739,2055137,76602,3.6
2019,Jan,2150958,2065142,85816,4.0
2019,Feb,2169493,2088501,80992,3.7
2019,Mar,2169172,2092160,77012,3.6
2019,Apr,2154351,2090269,64082,3.0
2019,May,2161440,2092097,69343,3.2
2019,Jun,2163471,2090817,72654,3.4
2019,Jul,2179576,2104256,75320,3.5
2019,Aug,2180017,2108950,71067,3.3
2019,Sep,2187696,2118784,68912,3.1
2019,Oct,2178160,2111982,66178,3.0
2019,Nov,2190123,2123579,66544,3.0
2019,Dec,2179993,2115045,64948,3.0
2020,Jan,2201744,2129724,72020,3.3
2020,Feb,2212729,2145812,66917,3.0
2020,Mar,2165143,2046183,118960,5.5
2020,Apr,2168122,1808060,360062,16.6
2020,May,2164320,1834092,330228,15.3
2020,Jun,2169968,1952087,217881,10.0
2020,Jul,2194244,1992540,201704,9.2
2020,Aug,2192099,2017979,174120,7.9
